"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);dôverné;1
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);nezistené;56
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;835
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;2
SK0101;Okres Bratislava I;muž;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;2671
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);dôverné;57
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);nezistené;1700
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);18
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;109
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;727
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);36
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);92
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;521
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;115
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);14
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;438
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;1142
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;1081
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);1
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);366
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);56
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);135
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);3
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);833
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";6248
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";868
SK0101;Okres Bratislava I;muž;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;17
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);dôverné;24
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);nezistené;310
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);6
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;10
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;66
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);24
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;260
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;45
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);3
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;93
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;366
SK0101;Okres Bratislava I;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;118
