"Kód štátu";"Názov štátu";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0;Slovenská republika;muž;predproduktívny vek (0-14 rokov);nezistené;6301
SK0;Slovenská republika;muž;predproduktívny vek (0-14 rokov);základné vzdelanie (bližšie neuvedené);1
SK0;Slovenská republika;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;117157
SK0;Slovenská republika;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;66
SK0;Slovenská republika;muž;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;320751
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);nezistené;108406
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);2937
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;44458
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;199375
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);5146
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);33134
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;378916
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;48758
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);740
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;166883
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;293720
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;88616
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);20
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);85523
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);9428
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);9392
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);152
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);52235
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";291628
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";21511
SK0;Slovenská republika;muž;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;7452
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);nezistené;13562
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);665
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;5510
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;34319
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);53
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);8771
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;125196
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;10213
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);784
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;23018
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;52991
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;9726
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie (bližšie neuvedené);1
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);11729
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);2886
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);3800
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);87
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);1979
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";59149
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";7713
SK0;Slovenská republika;muž;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;518
SK0;Slovenská republika;žena;predproduktívny vek (0-14 rokov);nezistené;5856
SK0;Slovenská republika;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;114574
SK0;Slovenská republika;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;256
SK0;Slovenská republika;žena;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;302448
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);nezistené;74711
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);2786
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;41257
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;206605
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);1632
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);26887
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;234753
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;35809
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);700
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;93412
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;329585
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;127207
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);22
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);74670
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);21727
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);18220
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);126
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);85139
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";400487
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";22648
SK0;Slovenská republika;žena;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;5866
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);nezistené;17168
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);1608
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;16287
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;136747
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);2
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);21518
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;99050
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;17515
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);915
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;18283
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;97560
SK0;Slovenská republika;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;39832
