"Kód štátu";"Názov štátu";"Pohlavie";"Vek";"Vzdelanie";"Súčasná ekonomická aktivita";"abs."
SK0;Slovenská republika;muž;0;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;29036
SK0;Slovenská republika;muž;1;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30033
SK0;Slovenská republika;muž;2;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30808
SK0;Slovenská republika;muž;3;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;31100
SK0;Slovenská republika;muž;4;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30873
SK0;Slovenská republika;muž;5;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;18
SK0;Slovenská republika;muž;5;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;30224
SK0;Slovenská republika;muž;6;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;8
SK0;Slovenská republika;muž;6;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;13420
SK0;Slovenská republika;muž;6;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;16113
SK0;Slovenská republika;muž;7;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;18
SK0;Slovenská republika;muž;7;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;26977
SK0;Slovenská republika;muž;7;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;dieťa do začatia povinnej školskej dochádzky;2497
SK0;Slovenská republika;muž;8;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;18
SK0;Slovenská republika;muž;8;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;30063
SK0;Slovenská republika;muž;9;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;33
SK0;Slovenská republika;muž;9;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;29373
SK0;Slovenská republika;muž;10;nezistené;žiak základnej školy;1240
SK0;Slovenská republika;muž;10;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;12804
SK0;Slovenská republika;muž;10;základné vzdelanie - 2. stupeň základnej školy;nezistené;1
SK0;Slovenská republika;muž;10;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;15477
SK0;Slovenská republika;muž;11;nezistené;žiak základnej školy;1376
SK0;Slovenská republika;muž;11;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;26136
SK0;Slovenská republika;muž;11;základné vzdelanie - 2. stupeň základnej školy;nezistené;2
SK0;Slovenská republika;muž;11;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;2858
SK0;Slovenská republika;muž;12;nezistené;žiak základnej školy;1365
SK0;Slovenská republika;muž;12;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;26598
SK0;Slovenská republika;muž;12;základné vzdelanie - 2. stupeň základnej školy;nezistené;2
SK0;Slovenská republika;muž;12;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;1037
SK0;Slovenská republika;muž;13;nezistené;žiak základnej školy;1192
SK0;Slovenská republika;muž;13;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;25837
SK0;Slovenská republika;muž;13;základné vzdelanie - 2. stupeň základnej školy;nezistené;12
SK0;Slovenská republika;muž;13;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;482
SK0;Slovenská republika;muž;14;nezistené;žiak strednej školy;15
SK0;Slovenská republika;muž;14;nezistené;žiak základnej školy;1113
SK0;Slovenská republika;muž;14;základné vzdelanie (bližšie neuvedené);nezistené;1
SK0;Slovenská republika;muž;14;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;25705
SK0;Slovenská republika;muž;14;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;49
SK0;Slovenská republika;muž;14;bez ukončeného vzdelania – osoby vo veku 0-14 rokov;žiak základnej školy;362
SK0;Slovenská republika;muž;15;nezistené;žiak strednej školy;2
SK0;Slovenská republika;muž;15;nezistené;žiak základnej školy;555
SK0;Slovenská republika;muž;15;základné vzdelanie (bližšie neuvedené);nezistené;2
SK0;Slovenská republika;muž;15;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;13238
SK0;Slovenská republika;muž;15;základné vzdelanie - 2. stupeň základnej školy;nezistené;639
SK0;Slovenská republika;muž;15;základné vzdelanie - 2. stupeň základnej školy;pracujúci (okrem dôchodcov);3
SK0;Slovenská republika;muž;15;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;12531
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezistené;58
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezistené;55
SK0;Slovenská republika;muž;15;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;nezistené;22
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezistené;37
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;pracujúci (okrem dôchodcov);3
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné;nezistené;41
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou odborné;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;15;úplné stredné vzdelanie s maturitou všeobecné;nezistené;27
SK0;Slovenská republika;muž;15;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);nezistené;18
SK0;Slovenská republika;muž;15;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);nezistené;1
SK0;Slovenská republika;muž;15;bez školského vzdelania – osoby vo veku 15 rokov a viac;nezistené;58
SK0;Slovenská republika;muž;15;bez školského vzdelania – osoby vo veku 15 rokov a viac;žiak základnej školy;317
SK0;Slovenská republika;muž;16;nezistené;nezistené;766
SK0;Slovenská republika;muž;16;nezistené;pracujúci (okrem dôchodcov);5
SK0;Slovenská republika;muž;16;nezistené;žiak strednej školy;2
SK0;Slovenská republika;muž;16;nezistené;osoba v domácnosti;25
SK0;Slovenská republika;muž;16;nezistené;žiak základnej školy;1
SK0;Slovenská republika;muž;16;základné vzdelanie (bližšie neuvedené);nezistené;5
SK0;Slovenská republika;muž;16;základné vzdelanie (bližšie neuvedené);nezamestnaný;22
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;nezistené;6
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;pracujúci (okrem dôchodcov);4
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;nezamestnaný;24
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;osoba v domácnosti;216
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;iná;8
SK0;Slovenská republika;muž;16;základné vzdelanie - 1. stupeň základnej školy;žiak základnej školy;1630
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;nezistené;80
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;pracujúci (okrem dôchodcov);43
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;nezamestnaný;137
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;žiak strednej školy;21396
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;osoba v domácnosti;1182
SK0;Slovenská republika;muž;16;základné vzdelanie - 2. stupeň základnej školy;iná;14
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);nezamestnaný;1
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezistené;229
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezamestnaný;1
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);osoba v domácnosti;31
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezistené;276
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;pracujúci (okrem dôchodcov);6
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;nezamestnaný;3
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;osoba v domácnosti;25
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;nezistené;76
SK0;Slovenská republika;muž;16;stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;osoba v domácnosti;22
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou (bližšie neuvedené);nezistené;8
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;nezistené;173
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;osoba v domácnosti;17
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné;nezistené;272
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou odborné;osoba v domácnosti;16
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou všeobecné;nezistené;138
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou všeobecné;pracujúci (okrem dôchodcov);1
SK0;Slovenská republika;muž;16;úplné stredné vzdelanie s maturitou všeobecné;osoba v domácnosti;21
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);nezistené;52
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);pracujúci (okrem dôchodcov);2
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);osoba v domácnosti;4
SK0;Slovenská republika;muž;16;vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);nezistené;10
