"Kód štátu";"Názov štátu";"Pohlavie";"5-ročné vekové skupiny";"Vzdelanie";"Zamestnanie (ISCO - triedy)";"abs."
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;nezistené;354
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;Odborní pracovníci v zdravotníctve;1
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;Administratívni pracovníci na záznam číselných a skladových údajov;1
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;Pracovníci v osobných službách;1
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;Predavači;1
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;Kvalifikovaní robotníci v hutníctve, strojárstve a podobní robotníci;1
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;Operátori stacionárnych strojov a zariadení;1
SK0;Slovenská republika;muž;15 - 19 rokov;nezistené;Vodiči a obsluha pojazdných strojných zariadení;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie (bližšie neuvedené);nezistené;3
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;nezistené;91
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Špecialisti v oblasti vedy a techniky;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Technici a odborní pracovníci v oblasti vedy a techniky;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Odborní pracovníci administratívnych, podporných a obchodných činností;3
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Administratívni pracovníci na záznam číselných a skladových údajov;4
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Pracovníci v osobných službách;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Predavači;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Pracovníci v oblasti osobnej starostlivosti;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Pracovníci verejnej ochrany a bezpečnostných služieb;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Kvalifikovaní pracovníci v poľnohospodárstve (trhovo orientovaní);2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Kvalifikovaní stavební robotníci a remeselníci okrem elektrikárov;15
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Kvalifikovaní robotníci v hutníctve, strojárstve a podobní robotníci;8
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Spracovatelia a výrobcovia potravinárskych výrobkov, výrobkov z dreva a odevov;5
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Operátori stacionárnych strojov a zariadení;17
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Montážni robotníci;14
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Vodiči a obsluha pojazdných strojných zariadení;3
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Upratovači a pomocníci;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Pomocní pracovníci v poľnohospodárstve, lesníctve a rybárstve;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Pomocní pracovníci v ťažbe, stavebníctve, výrobe a doprave;18
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Pomocní pracovníci pri príprave jedla;3
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 1. stupeň základnej školy;Pracovníci pri likvidácii odpadu a ostatní nekvalifikovaní pracovníci;6
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;nezistené;546
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Riadiaci pracovníci (manažéri)  administratívnych, podporných a obchodných  činností;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Riadiaci pracovníci (manažéri) vo výrobe a v špecializovaných službách;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Riadiaci pracovníci (manažéri) v hotelových, reštauračných, obchodných a v ostatných službách;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Špecialisti v oblasti vedy a techniky;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Špecialisti administratívnych, podporných a obchodných činností;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Špecialisti v oblasti informačných a komunikačných technológií;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Technici a odborní pracovníci v oblasti vedy a techniky;10
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Odborní pracovníci administratívnych, podporných a obchodných činností;7
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Odborní pracovníci v oblasti práva, sociálnych vecí a kultúry a podobní pracovníci;11
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Technici v oblasti informačných a komunikačných technológií;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Všeobecní administratívni pracovníci a zapisovatelia;3
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Administratívni pracovníci v zákazníckych službách;4
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Administratívni pracovníci na záznam číselných a skladových údajov;57
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Ostatní pomocní administratívni pracovníci;3
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Pracovníci v osobných službách;17
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Predavači;26
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Pracovníci v oblasti osobnej starostlivosti;6
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Pracovníci verejnej ochrany a bezpečnostných služieb;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Kvalifikovaní pracovníci v poľnohospodárstve (trhovo orientovaní);11
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Kvalifikovaní pracovníci v lesníctve, rybárstve a poľovníctve (trhovo orientovaní);6
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Kvalifikovaní stavební robotníci a remeselníci okrem elektrikárov;69
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Kvalifikovaní robotníci v hutníctve, strojárstve a podobní robotníci;33
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Umeleckí a ruční remeselníci a tlačiari;2
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Elektrikári a elektronici;1
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Spracovatelia a výrobcovia potravinárskych výrobkov, výrobkov z dreva a odevov;24
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Operátori stacionárnych strojov a zariadení;74
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Montážni robotníci;86
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Vodiči a obsluha pojazdných strojných zariadení;24
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Upratovači a pomocníci;12
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Pomocní pracovníci v poľnohospodárstve, lesníctve a rybárstve;10
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Pomocní pracovníci v ťažbe, stavebníctve, výrobe a doprave;112
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Pomocní pracovníci pri príprave jedla;7
SK0;Slovenská republika;muž;15 - 19 rokov;základné vzdelanie - 2. stupeň základnej školy;Pracovníci pri likvidácii odpadu a ostatní nekvalifikovaní pracovníci;30
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);nezistené;6
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);nezistené;78
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Zákonodarcovia, ústavní činitelia, vysokí štátni úradníci a najvyšší predstavitelia podnikov a organizácií;1
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Špecialisti v oblasti vedy a techniky;4
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Špecialisti v zdravotníctve;1
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Špecialisti administratívnych, podporných a obchodných činností;1
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Technici a odborní pracovníci v oblasti vedy a techniky;3
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Odborní pracovníci v zdravotníctve;1
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Odborní pracovníci administratívnych, podporných a obchodných činností;2
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Odborní pracovníci v oblasti práva, sociálnych vecí a kultúry a podobní pracovníci;1
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Administratívni pracovníci na záznam číselných a skladových údajov;20
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Pracovníci v osobných službách;2
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Predavači;8
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Pracovníci v oblasti osobnej starostlivosti;3
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Pracovníci verejnej ochrany a bezpečnostných služieb;2
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Kvalifikovaní pracovníci v poľnohospodárstve (trhovo orientovaní);2
SK0;Slovenská republika;muž;15 - 19 rokov;stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);Kvalifikovaní pracovníci v lesníctve, rybárstve a poľovníctve (trhovo orientovaní);2
